商品名,わんにゃん薬局URL（確認用）,アフィリエイトURL（マネートラックで発行）,記事内での表記パターン（記事内に含まれる可能性のある文字列）
レボリューション(犬用),https://biodiversityexplorer.org/product.php?pid=387,https://mttag.com/s/L7IrW864-jY,レボリューション(犬用)
レボスポット(犬用),https://biodiversityexplorer.org/product.php?pid=411,https://mttag.com/s/pvX21MqTlgA,レボスポット(犬用)
ネクスガードスペクトラ,https://biodiversityexplorer.org/product.php?pid=11,https://mttag.com/s/PadhsxDEeZQ,ネクスガードスペクトラ
ハートガードプラス,https://biodiversityexplorer.org/product.php?pid=1,,ハートガードプラス
カルドメック,https://biodiversityexplorer.org/product.php?pid=1,,カルドメック
ミルベマイシン,https://biodiversityexplorer.org/product.php?pid=2,,ミルベマイシン
レボリューション(猫用),https://biodiversityexplorer.org/product.php?pid=3,https://mttag.com/s/r1BBxDld9R8,レボリューション(猫用)
レボスポット(猫用),https://biodiversityexplorer.org/product.php?pid=293,https://mttag.com/s/a58oRD1Uj4U,レボスポット(猫用)
ミルプラゾンチュアブル(猫用),https://biodiversityexplorer.org/product.php?pid=297,https://mttag.com/s/GERGlgYfF50,ミルプラゾンチュアブル(猫用)
ブロードライン,https://biodiversityexplorer.org/product.php?pid=4,,ブロードライン
ネクスガード,https://biodiversityexplorer.org/product.php?pid=38,https://mttag.com/s/MFppScuKzeM,ネクスガード
シンパリカ,https://biodiversityexplorer.org/product.php?pid=26,https://mttag.com/s/OITQJb-VRRc,シンパリカ
ブラベクト錠(犬用),https://biodiversityexplorer.org/product.php?pid=5,,ブラベクト錠(犬用)
フロントライン(犬用),https://biodiversityexplorer.org/product.php?pid=395,https://mttag.com/s/1mFYeWhr6ZA,フロントラインプラス(犬用)
フロントライン(猫用),https://biodiversityexplorer.org/product.php?pid=32,https://mttag.com/s/A-OpDysFxl4,フロントラインプラス(猫用)
エリナEP,https://biodiversityexplorer.org/product.php?pid=22,https://mttag.com/s/rs91mxlopmA,エリナEP
フィプロフォートプラス(猫用),https://biodiversityexplorer.org/product.php?pid=28,https://mttag.com/s/yaFOovyO8ac,フィプロフォートプラス(猫用)
ドロンタール,https://biodiversityexplorer.org/product.php?pid=7,,ドロンタール
ミルベマックス,https://biodiversityexplorer.org/product.php?pid=8,,ミルベマックス
アジプロ,https://biodiversityexplorer.org/product.php?pid=346,https://mttag.com/s/03MHzTD5gGM,アジプロ
ジスロマック錠,https://biodiversityexplorer.org/product.php?pid=164,https://mttag.com/s/QlCa-I83UNc,ジスロマック錠
ファムシクロビル,https://biodiversityexplorer.org/product.php?pid=401,https://mttag.com/s/yYP6UrhNh8Q,ファムシクロビル
ケトコナゾールクリーム,https://biodiversityexplorer.org/product.php?pid=326,https://mttag.com/s/PZ5EbBMtJag,ケトコナゾールクリーム
セミントラ,https://biodiversityexplorer.org/product.php?pid=101,https://mttag.com/s/lr269oGXelI,セミントラ
テルミサルタン錠,https://biodiversityexplorer.org/product.php?pid=364,https://mttag.com/s/am7MJ50Uo6A,テルミサルタン錠
ザイロリックジェネリック,https://biodiversityexplorer.org/product.php?pid=347,https://mttag.com/s/IHXwqRzL2AE,ザイロリックジェネリック